ZDB-GENE-980526-340	ENSDARG00000017821
ZDB-GENE-990415-25	ENSDARG00000057231
ZDB-GENE-980526-326	ENSDARG00000104453
ZDB-GENE-070117-580	Not found
ZDB-GENE-011221-1	ENSDARG00000068255
ZDB-GENE-040426-1087	ENSDARG00000054578
ZDB-GENE-040702-5	ENSDARG00000001803
ZDB-GENE-040824-2	Not found
ZDB-GENE-040930-5	ENSDARG00000037919
ZDB-GENE-030131-3286	ENSDARG00000040131
ZDB-GENE-021226-1	ENSDARG00000101209
ZDB-GENE-040426-1021	ENSDARG00000044405
ZDB-GENE-021231-3	ENSDARG00000077264
ZDB-GENE-070117-2434	Not found
ZDB-GENE-040426-1433	ENSDARG00000075666
ZDB-GENE-060804-3	ENSDARG00000010244
ZDB-GENE-060519-3	ENSDARG00000015851
ZDB-GENE-020419-12	ENSDARG00000043453
ZDB-GENE-030131-6665	ENSDARG00000019342
ZDB-GENE-080204-6	ENSDARG00000090820
ZDB-GENE-051120-90	ENSDARG00000102167
ZDB-GENE-001207-3	ENSDARG00000103697
ZDB-GENE-070117-290	Not found
ZDB-GENE-030804-26	ENSDARG00000098946
ZDB-GENE-040426-1954	ENSDARG00000005456
ZDB-GENE-041210-167	ENSDARG00000023026
ZDB-GENE-011119-1	ENSDARG00000015472
ZDB-GENE-990415-224	ENSDARG00000054438
ZDB-GENE-070226-1	ENSDARG00000030307
ZDB-GENE-050307-3	ENSDARG00000030215
ZDB-GENE-070912-475	ENSDARG00000031426
ZDB-GENE-030131-73	ENSDARG00000071586
ZDB-GENE-010724-7	ENSDARG00000038743
ZDB-GENE-001103-2	ENSDARG00000043923
ZDB-GENE-070117-300	Not found
ZDB-GENE-030131-5427	ENSDARG00000000529
ZDB-GENE-990415-198	ENSDARG00000035095
ZDB-GENE-020814-2	ENSDARG00000043658
ZDB-GENE-070117-2388	Not found
ZDB-GENE-050208-445	ENSDARG00000071046
ZDB-GENE-030131-1736	ENSDARG00000068755
ZDB-GENE-030109-1	ENSDARG00000055639
ZDB-GENE-070117-555	Not found
ZDB-GENE-011022-1	ENSDARG00000019838
ZDB-GENE-030723-4	ENSDARG00000019367
ZDB-GENE-031007-5	ENSDARG00000011219
ZDB-GENE-040426-1947	ENSDARG00000056473
ZDB-GENE-070117-823	Not found
ZDB-GENE-020125-3	ENSDARG00000070173
ZDB-GENE-040801-106	ENSDARG00000052769
ZDB-GENE-021031-5	ENSDARG00000088157
ZDB-GENE-010606-1	ENSDARG00000102750
ZDB-GENE-040910-1	ENSDARG00000042627
ZDB-GENE-001019-1	ENSDARG00000014891
ZDB-GENE-001030-2	ENSDARG00000037383
ZDB-GENE-060531-130	ENSDARG00000067537
ZDB-GENE-000906-1	ENSDARG00000030490
ZDB-GENE-041010-136	ENSDARG00000104441
ZDB-GENE-050417-183	ENSDARG00000038006
ZDB-GENE-011207-1	ENSDARG00000077467
ZDB-GENE-031210-1	ENSDARG00000024771
ZDB-GENE-090504-2	Not found
ZDB-GENE-070117-55	Not found
ZDB-GENE-021008-1	ENSDARG00000011879
ZDB-GENE-070117-2344	Not found
ZDB-GENE-041212-70	ENSDARG00000040255
ZDB-GENE-990706-8	ENSDARG00000025641
ZDB-GENE-041212-53	ENSDARG00000001929
ZDB-GENE-041124-3	ENSDARG00000056648
ZDB-GENE-020424-3	ENSDARG00000013415
ZDB-GENE-070117-2066	ENSDARG00000038024
ZDB-GENE-070117-2482	Not found
ZDB-GENE-030708-2	ENSDARG00000071497
ZDB-GENE-030131-3827	ENSDARG00000090697
ZDB-GENE-070117-2346	Not found
ZDB-GENE-070117-2266	Not found
ZDB-GENE-041221-3	ENSDARG00000003705
ZDB-GENE-060126-1	ENSDARG00000075169
ZDB-GENE-111103-16	Not found
ZDB-GENE-051127-5	ENSDARG00000055226
ZDB-GENE-040723-1	ENSDARG00000020595
ZDB-GENE-040426-1297	ENSDARG00000012390
ZDB-GENE-040426-1218	ENSDARG00000002406
ZDB-GENE-990603-12	ENSDARG00000004256
ZDB-GENE-030131-6654	ENSDARG00000042793
ZDB-GENE-040718-328	ENSDARG00000017740
ZDB-GENE-030131-1414	ENSDARG00000010721
ZDB-GENE-000511-1	ENSDARG00000008305
ZDB-GENE-990415-252	ENSDARG00000040926
ZDB-GENE-041014-73	ENSDARG00000070425
ZDB-GENE-000201-9	ENSDARG00000012896
ZDB-GENE-030131-4411	ENSDARG00000019117
ZDB-GENE-030131-2908	ENSDARG00000077121
ZDB-GENE-040303-1	ENSDARG00000031761
ZDB-GENE-070117-277	Not found
ZDB-GENE-040625-53	ENSDARG00000010640
ZDB-GENE-980526-227	ENSDARG00000011188
ZDB-GENE-040827-4	ENSDARG00000014098
ZDB-GENE-040426-820	ENSDARG00000021483
ZDB-GENE-081022-87	ENSDARG00000075500
ZDB-GENE-990708-7	ENSDARG00000058379
ZDB-GENE-980526-166	ENSDARG00000068567
ZDB-GENE-980526-29	ENSDARG00000010791
ZDB-GENE-110623-1	ENSDARG00000079738
ZDB-GENE-070912-553	ENSDARG00000062338
ZDB-GENE-081003-1	ENSDARG00000038990
ZDB-GENE-040121-6	ENSDARG00000056322
ZDB-GENE-070117-1181	Not found
ZDB-GENE-030131-8846	ENSDARG00000099481
ZDB-GENE-070618-2	ENSDARG00000020057
ZDB-GENE-130502-1	ENSDARG00000061031
ZDB-GENE-030828-12	ENSDARG00000003035
ZDB-GENE-041014-357	ENSDARG00000054137
ZDB-GENE-021115-9	ENSDARG00000029072
ZDB-GENE-041001-150	ENSDARG00000010831
ZDB-GENE-991124-7	ENSDARG00000024894
ZDB-GENE-030131-9	ENSDARG00000019353
ZDB-GENE-080724-2	ENSDARG00000036375
ZDB-GENE-070117-2274	Not found
ZDB-GENE-040426-2140	ENSDARG00000104353
ZDB-GENE-070117-2281	Not found
ZDB-GENE-040426-1219	ENSDARG00000027501
ZDB-GENE-060522-1	ENSDARG00000091253
ZDB-GENE-021030-4	ENSDARG00000041895
ZDB-GENE-041221-2	ENSDARG00000044048
ZDB-GENE-130730-2	ENSDARG00000102761
ZDB-GENE-070117-2029	Not found
ZDB-GENE-050411-55	ENSDARG00000012824
ZDB-GENE-020419-32	ENSDARG00000015427
ZDB-GENE-030131-8277	ENSDARG00000037924
ZDB-GENE-040718-149	ENSDARG00000007891
ZDB-GENE-070117-325	Not found
ZDB-GENE-040322-2	ENSDARG00000094673
ZDB-GENE-081218-1	ENSDARG00000078185
ZDB-GENE-030131-3445	ENSDARG00000001129
ZDB-GENE-980526-304	ENSDARG00000013539
ZDB-GENE-030616-115	ENSDARG00000042861
ZDB-GENE-050706-86	ENSDARG00000013963
ZDB-GENE-050417-383	ENSDARG00000046074
ZDB-GENE-120117-1	Not found
ZDB-GENE-040426-2649	ENSDARG00000054807
ZDB-GENE-041116-2	ENSDARG00000039412
ZDB-GENE-040831-4	ENSDARG00000043559
ZDB-GENE-980526-437	ENSDARG00000101576
ZDB-GENE-030131-3904	ENSDARG00000104222
ZDB-GENE-040426-1214	ENSDARG00000013858
ZDB-GENE-050616-5	ENSDARG00000017927
ZDB-GENE-030616-572	ENSDARG00000000861
ZDB-GENE-040426-2039	ENSDARG00000103409
ZDB-GENE-070117-2460	Not found
ZDB-GENE-070117-999	Not found
ZDB-GENE-040718-100	ENSDARG00000023861
ZDB-GENE-090507-4	ENSDARG00000001889
ZDB-GENE-030131-5408	ENSDARG00000020008
ZDB-GENE-070912-613	ENSDARG00000060177
ZDB-GENE-040426-1663	ENSDARG00000102820
ZDB-GENE-020419-24	ENSDARG00000102798
ZDB-GENE-030131-4027	ENSDARG00000039020
ZDB-GENE-020426-1	ENSDARG00000010948
ZDB-GENE-070306-6	Not found
ZDB-GENE-991123-5	ENSDARG00000079564
ZDB-GENE-070117-909	Not found
ZDB-GENE-021219-2	ENSDARG00000006370
ZDB-GENE-990415-181	ENSDARG00000101279
ZDB-GENE-091204-120	ENSDARG00000100232
ZDB-GENE-070117-2117	Not found
ZDB-GENE-050419-110	ENSDARG00000061796
ZDB-GENE-060818-1	ENSDARG00000028071
ZDB-GENE-990726-27	ENSDARG00000006120
ZDB-GENE-980526-274	ENSDARG00000038205
ZDB-GENE-041114-32	ENSDARG00000010596
ZDB-GENE-081104-340	ENSDARG00000094892
ZDB-GENE-070117-396	Not found
ZDB-GENE-080807-4	ENSDARG00000076564
ZDB-GENE-040714-3	ENSDARG00000007444
ZDB-GENE-040426-2423	ENSDARG00000104138
ZDB-GENE-111014-1	ENSDARG00000079922
ZDB-GENE-031116-61	ENSDARG00000058179
ZDB-GENE-040801-170	ENSDARG00000004706
ZDB-GENE-040426-2764	ENSDARG00000004851
ZDB-GENE-040912-136	ENSDARG00000035899
ZDB-GENE-040426-1892	ENSDARG00000099161
ZDB-GENE-070117-583	Not found
ZDB-GENE-060616-252	ENSDARG00000051874
ZDB-GENE-040724-125	ENSDARG00000008573
ZDB-GENE-060929-1178	ENSDARG00000101919
ZDB-GENE-070321-1	ENSDARG00000014091
ZDB-GENE-030131-7050	ENSDARG00000014717
ZDB-GENE-070117-49	Not found
ZDB-GENE-020103-1	ENSDARG00000002601
ZDB-GENE-040426-1474	ENSDARG00000102643
ZDB-GENE-990415-72	ENSDARG00000003399
ZDB-GENE-070117-2162	Not found
ZDB-GENE-040426-2330	ENSDARG00000094973
ZDB-GENE-060718-1	ENSDARG00000077353
ZDB-GENE-031118-202	ENSDARG00000073743
ZDB-GENE-990714-11	ENSDARG00000052846
ZDB-GENE-040116-3	ENSDARG00000026595
ZDB-GENE-080405-1	ENSDARG00000042637
ZDB-GENE-031010-37	ENSDARG00000076472
ZDB-GENE-070501-10	Not found
ZDB-GENE-000406-10	ENSDARG00000051923
ZDB-GENE-070117-2515	Not found
ZDB-GENE-040912-168	ENSDARG00000038834
ZDB-GENE-070117-348	Not found
ZDB-GENE-030219-1	ENSDARG00000014309
ZDB-GENE-030131-574	ENSDARG00000027234
ZDB-GENE-040727-4	ENSDARG00000009472
ZDB-GENE-040426-1716	ENSDARG00000030602
ZDB-GENE-030616-132	ENSDARG00000001220
ZDB-GENE-050809-1	ENSDARG00000013422
ZDB-GENE-030805-5	ENSDARG00000031891
ZDB-GENE-080530-2	ENSDARG00000074471
ZDB-GENE-040426-1718	ENSDARG00000042566
ZDB-GENE-990714-15	ENSDARG00000030756
ZDB-GENE-091204-439	ENSDARG00000074761
ZDB-GENE-030321-1	ENSDARG00000101244
ZDB-GENE-020503-2	ENSDARG00000034434
ZDB-GENE-031118-30	ENSDARG00000026712
ZDB-GENE-030131-9187	ENSDARG00000020235
ZDB-GENE-040628-1	ENSDARG00000102995
ZDB-GENE-030131-9864	ENSDARG00000078214
ZDB-GENE-030131-9242	ENSDARG00000038428
ZDB-GENE-070117-2179	Not found
ZDB-GENE-011010-3	ENSDARG00000053493
ZDB-GENE-040707-1	ENSDARG00000101831
ZDB-GENE-040426-1272	Not found
ZDB-GENE-990415-94	ENSDARG00000010478
ZDB-GENE-030128-4	ENSDARG00000010207
ZDB-GENE-980526-464	ENSDARG00000043317
ZDB-GENE-040625-147	ENSDARG00000043509
ZDB-GENE-070117-1386	Not found
ZDB-GENE-030911-7	ENSDARG00000044417
ZDB-GENE-040801-149	ENSDARG00000023396
ZDB-GENE-980526-549	ENSDARG00000044422
ZDB-GENE-070117-2335	Not found
ZDB-GENE-070117-2062	ENSDARG00000099088
ZDB-GENE-050913-156	ENSDARG00000014685
ZDB-GENE-040715-1	ENSDARG00000021402
ZDB-GENE-991119-8	ENSDARG00000027199
ZDB-GENE-070117-2150	Not found
ZDB-GENE-040708-1	ENSDARG00000006288
ZDB-GENE-120202-1	ENSDARG00000101814
ZDB-GENE-070117-2027	Not found
ZDB-GENE-000526-1	ENSDARG00000013441
ZDB-GENE-030131-5286	ENSDARG00000098375
ZDB-GENE-980526-89	ENSDARG00000002952
ZDB-GENE-001205-1	ENSDARG00000102986
ZDB-GENE-010525-1	ENSDARG00000012881
ZDB-GENE-040426-1275	ENSDARG00000003200
ZDB-GENE-120228-1	ENSDARG00000068460
ZDB-GENE-050517-20	ENSDARG00000041107
ZDB-GENE-001103-3	ENSDARG00000070677
ZDB-GENE-041111-162	ENSDARG00000052131
ZDB-GENE-070117-124	Not found
ZDB-GENE-111017-2	ENSDARG00000061248
ZDB-GENE-060125-2	Not found
ZDB-GENE-040812-2	ENSDARG00000020749
ZDB-GENE-001031-1	ENSDARG00000045936
ZDB-GENE-980526-403	ENSDARG00000053298
ZDB-GENE-030131-3178	ENSDARG00000078865
ZDB-GENE-070117-1497	Not found
ZDB-GENE-040426-1707	ENSDARG00000003151
ZDB-GENE-031030-2	ENSDARG00000092115
ZDB-GENE-070117-246	Not found
ZDB-GENE-070117-2210	Not found
ZDB-GENE-040426-1960	ENSDARG00000008735
ZDB-GENE-050320-126	ENSDARG00000055151
ZDB-GENE-070117-2069	Not found
ZDB-GENE-000710-6	ENSDARG00000015906
ZDB-GENE-040426-2169	Not found
ZDB-GENE-070117-2436	Not found
ZDB-GENE-040901-1	ENSDARG00000062909
ZDB-GENE-020419-20	ENSDARG00000100392
ZDB-GENE-040801-47	Not found
ZDB-GENE-070912-179	ENSDARG00000075211
ZDB-GENE-110411-86	ENSDARG00000077103
ZDB-GENE-070117-275	Not found
ZDB-GENE-010803-2	ENSDARG00000068732
ZDB-GENE-020905-1	ENSDARG00000020574
ZDB-GENE-040622-3	ENSDARG00000025567
ZDB-GENE-000208-4	ENSDARG00000015567
ZDB-GENE-070117-564	Not found
ZDB-GENE-000920-1	ENSDARG00000036912
ZDB-GENE-070604-1	ENSDARG00000052482
ZDB-GENE-050208-97	ENSDARG00000002593
ZDB-GENE-040426-1053	ENSDARG00000007025
ZDB-GENE-070912-274	ENSDARG00000077403
ZDB-GENE-991110-14	ENSDARG00000053666
ZDB-GENE-040426-770	ENSDARG00000004470
ZDB-GENE-070117-1694	Not found
ZDB-GENE-980526-332	Not found
ZDB-GENE-040715-8	ENSDARG00000042530
ZDB-GENE-070206-5	ENSDARG00000061454
ZDB-GENE-040629-1	ENSDARG00000024211
ZDB-GENE-020419-36	ENSDARG00000070828
ZDB-GENE-090313-21	ENSDARG00000063371
ZDB-GENE-070117-2016	Not found
ZDB-GENE-040426-2761	ENSDARG00000045843
ZDB-GENE-991105-4	ENSDARG00000041799
ZDB-GENE-040930-4	ENSDARG00000037570
ZDB-GENE-030326-1	ENSDARG00000014230
ZDB-GENE-030131-1835	ENSDARG00000019004
ZDB-GENE-060825-242	ENSDARG00000053535
ZDB-GENE-030318-1	ENSDARG00000037116
ZDB-GENE-041008-142	ENSDARG00000008880
ZDB-GENE-030821-2	ENSDARG00000004861
ZDB-GENE-070117-535	Not found
ZDB-GENE-990615-5	ENSDARG00000007329
ZDB-GENE-030131-5753	ENSDARG00000027749
ZDB-GENE-041114-7	ENSDARG00000070801
ZDB-GENE-030131-9975	ENSDARG00000056986
ZDB-GENE-030116-2	ENSDARG00000016454
ZDB-GENE-040930-10	ENSDARG00000005791
ZDB-GENE-070112-1042	ENSDARG00000070617
ZDB-GENE-040915-1	ENSDARG00000004174
ZDB-GENE-080318-7	Not found
ZDB-GENE-050419-261	ENSDARG00000103607
ZDB-GENE-040426-1010	ENSDARG00000037968
ZDB-GENE-101017-1	ENSDARG00000045968
ZDB-GENE-070705-171	ENSDARG00000033259
ZDB-GENE-070117-72	Not found
ZDB-GENE-070117-2188	Not found
ZDB-GENE-070117-2186	Not found
ZDB-GENE-051113-124	ENSDARG00000053744
ZDB-GENE-041014-322	ENSDARG00000016936
ZDB-GENE-000710-4	ENSDARG00000015554
ZDB-GENE-070117-186	Not found
ZDB-GENE-100813-1	Not found
ZDB-GENE-040426-2435	ENSDARG00000055357
ZDB-GENE-070521-2	ENSDARG00000077530
ZDB-GENE-070117-2328	Not found
ZDB-GENE-030710-2	ENSDARG00000104347
ZDB-GENE-040709-2	ENSDARG00000034178
ZDB-GENE-070117-50	Not found
ZDB-GENE-040426-1936	ENSDARG00000053912
ZDB-GENE-030616-450	ENSDARG00000032324
ZDB-GENE-070117-2263	Not found
ZDB-GENE-070117-2095	Not found
ZDB-GENE-120119-1	ENSDARG00000097772
ZDB-GENE-030113-2	ENSDARG00000028213
ZDB-GENE-060503-766	ENSDARG00000025902
ZDB-GENE-040426-1016	ENSDARG00000008592
ZDB-GENE-030131-2193	ENSDARG00000002445
ZDB-GENE-050522-242	ENSDARG00000010941
ZDB-GENE-020419-9	ENSDARG00000092553
ZDB-GENE-071119-2	ENSDARG00000088805
ZDB-GENE-990415-173	ENSDARG00000103554
ZDB-GENE-070117-2501	ENSDARG00000045946
ZDB-GENE-031113-14	ENSDARG00000101844
ZDB-GENE-011128-4	ENSDARG00000013168
ZDB-GENE-040426-1246	ENSDARG00000012247
ZDB-GENE-070117-906	Not found
ZDB-GENE-030131-6986	ENSDARG00000002710
ZDB-GENE-070117-69	ENSDARG00000096095
ZDB-GENE-070426-2	Not found
ZDB-GENE-040426-2069	ENSDARG00000098753
ZDB-GENE-030131-2179	ENSDARG00000061600
ZDB-GENE-080107-2	ENSDARG00000039863
ZDB-GENE-140122-11	Not found
ZDB-GENE-070119-5	ENSDARG00000022101
ZDB-GENE-030710-1	ENSDARG00000044601
ZDB-GENE-030114-5	ENSDARG00000006900
ZDB-GENE-060607-11	ENSDARG00000057671
ZDB-GENE-050320-92	ENSDARG00000014522
ZDB-GENE-041212-41	ENSDARG00000012039
ZDB-GENE-070117-180	Not found
ZDB-GENE-070117-2219	Not found
ZDB-GENE-000329-5	ENSDARG00000052139
ZDB-GENE-020122-5	ENSDARG00000018765
ZDB-GENE-040513-7	Not found
ZDB-GENE-040426-1430	ENSDARG00000031952
ZDB-GENE-070117-2291	Not found
ZDB-GENE-110208-1	ENSDARG00000102793
ZDB-GENE-041108-2	ENSDARG00000003592
ZDB-GENE-090828-5	ENSDARG00000078696
ZDB-GENE-070117-2251	Not found
ZDB-GENE-040426-1457	ENSDARG00000075713
ZDB-GENE-061207-9	ENSDARG00000069423
ZDB-GENE-060616-182	ENSDARG00000053728
ZDB-GENE-070117-1942	Not found
ZDB-GENE-060526-14	ENSDARG00000104118
ZDB-GENE-070117-793	Not found
ZDB-GENE-030131-8491	ENSDARG00000020527
ZDB-GENE-030404-2	ENSDARG00000102184
ZDB-GENE-081104-199	ENSDARG00000087893
ZDB-GENE-050107-3	ENSDARG00000088810
ZDB-GENE-080415-1	ENSDARG00000103046
ZDB-GENE-020419-33	ENSDARG00000070433
ZDB-GENE-030131-3264	ENSDARG00000052652
ZDB-GENE-080220-57	ENSDARG00000101778
ZDB-GENE-081030-4	ENSDARG00000002084
ZDB-GENE-001006-1	ENSDARG00000105230
ZDB-GENE-071218-3	ENSDARG00000004871
ZDB-GENE-030131-2415	ENSDARG00000103747
ZDB-GENE-010817-2	ENSDARG00000053906
ZDB-GENE-040718-101	ENSDARG00000100944
ZDB-GENE-090603-2	Not found
ZDB-GENE-070117-898	Not found
ZDB-GENE-040822-28	ENSDARG00000042977
ZDB-GENE-060208-3	ENSDARG00000011222
ZDB-GENE-030131-512	ENSDARG00000005926
ZDB-GENE-031007-6	ENSDARG00000091293
ZDB-GENE-020919-3	ENSDARG00000008433
ZDB-GENE-070117-2491	Not found
ZDB-GENE-030131-9823	ENSDARG00000058543
ZDB-GENE-041111-216	ENSDARG00000032630
ZDB-GENE-040426-1146	ENSDARG00000010300
ZDB-GENE-101109-1	ENSDARG00000079550
ZDB-GENE-070117-2056	Not found
ZDB-GENE-070117-2092	Not found
ZDB-GENE-011105-1	ENSDARG00000021225
ZDB-GENE-030131-9102	ENSDARG00000012405
ZDB-GENE-070117-2510	Not found
ZDB-GENE-001229-1	ENSDARG00000038643
ZDB-GENE-070117-171	Not found
ZDB-GENE-030131-9895	ENSDARG00000019961
ZDB-GENE-070705-7	ENSDARG00000076554
ZDB-GENE-150701-10	Not found
ZDB-GENE-030131-2376	ENSDARG00000016363
ZDB-GENE-990415-172	ENSDARG00000019566
ZDB-GENE-050327-35	ENSDARG00000042005
ZDB-GENE-090408-1	ENSDARG00000105003
ZDB-GENE-070117-2122	Not found
ZDB-GENE-990415-47	ENSDARG00000020219
ZDB-GENE-040426-972	ENSDARG00000012572
ZDB-GENE-030131-9710	ENSDARG00000068401
ZDB-GENE-070117-2354	Not found
ZDB-GENE-090206-1	ENSDARG00000004561
ZDB-GENE-030131-2453	ENSDARG00000024488
ZDB-GENE-070117-2275	Not found
ZDB-GENE-041020-1	ENSDARG00000037429
ZDB-GENE-070117-2143	Not found
ZDB-GENE-040309-2	ENSDARG00000029830
ZDB-GENE-020419-3	ENSDARG00000001939
ZDB-GENE-140106-268	ENSDARG00000091326
ZDB-GENE-030131-2808	ENSDARG00000056127
ZDB-GENE-980526-260	ENSDARG00000059327
ZDB-GENE-040823-3	ENSDARG00000086425
ZDB-GENE-990714-4	ENSDARG00000017803
ZDB-GENE-070117-2360	Not found
ZDB-GENE-040614-1	ENSDARG00000021022
ZDB-GENE-040718-266	ENSDARG00000090170
ZDB-GENE-040426-858	ENSDARG00000007614
ZDB-GENE-030131-5297	ENSDARG00000006691
ZDB-GENE-050731-5	ENSDARG00000036338
ZDB-GENE-070626-1	ENSDARG00000104735
ZDB-GENE-000201-18	ENSDARG00000052150
ZDB-GENE-030131-8671	ENSDARG00000058451
